2026-01-03 12:46:14,618 - PathLensMaster - INFO - Logging initialized: /home/shogun/Documents/PathLens/data/logs/pathlens_master_20260103_124614.log
2026-01-03 12:46:14,618 - PathLensMaster - INFO - PathLens Master Orchestrator Starting
2026-01-03 12:46:14,618 - PathLensMaster - INFO - Project root: /home/shogun/Documents/PathLens
2026-01-03 12:46:14,618 - PathLensMaster - INFO - Config: /home/shogun/Documents/PathLens/config.yaml
2026-01-03 12:46:14,619 - PathLensMaster - INFO - Skipping data collection pipeline
2026-01-03 12:46:14,619 - PathLensMaster - INFO - ================================================================================
2026-01-03 12:46:14,619 - PathLensMaster - INFO - PIPELINE: OPTIMIZATION
2026-01-03 12:46:14,619 - PathLensMaster - INFO - ================================================================================
2026-01-03 12:46:14,619 - PathLensMaster - INFO - Command: /home/shogun/Documents/PathLens/venv/bin/python -u /home/shogun/Documents/PathLens/optimization-pipeline/run_optimization.py --ga-population 120 --ga-generations 80 --ga-config /home/shogun/Documents/PathLens/config.yaml
2026-01-03 12:46:14,675 - PathLensMaster - INFO - [optimization] 2026-01-03 12:46:14,674 - __main__ - INFO - Logging initialized: /home/shogun/Documents/PathLens/data/optimization/runs/logs/optimization_run_20260103_124614.log
2026-01-03 12:46:14,675 - PathLensMaster - INFO - [optimization] 2026-01-03 12:46:14,675 - __main__ - INFO - PathLens Optimization Workflow
2026-01-03 12:46:14,675 - PathLensMaster - INFO - [optimization] 2026-01-03 12:46:14,675 - __main__ - INFO - Project root: /home/shogun/Documents/PathLens
2026-01-03 12:46:14,678 - PathLensMaster - INFO - [optimization] 2026-01-03 12:46:14,678 - __main__ - INFO - Hybrid GA-MILP enabled in config.yaml
2026-01-03 12:46:14,678 - PathLensMaster - INFO - [optimization] 2026-01-03 12:46:14,678 - __main__ - INFO - ================================================================================
2026-01-03 12:46:14,678 - PathLensMaster - INFO - [optimization] 2026-01-03 12:46:14,678 - __main__ - INFO - > Extract high travel time nodes
2026-01-03 12:46:14,678 - PathLensMaster - INFO - [optimization] 2026-01-03 12:46:14,678 - __main__ - INFO - ================================================================================
2026-01-03 12:46:14,678 - PathLensMaster - INFO - [optimization] 2026-01-03 12:46:14,678 - __main__ - INFO - Command: /home/shogun/Documents/PathLens/venv/bin/python /home/shogun/Documents/PathLens/optimization-pipeline/list_optimizable_nodes.py --input /home/shogun/Documents/PathLens/data/analysis/nodes_with_scores.parquet --output /home/shogun/Documents/PathLens/data/optimization/runs/high_travel_time_nodes.csv
2026-01-03 12:46:15,206 - PathLensMaster - INFO - [optimization] Filtered 4168 nodes above 15.00 minutes; wrote 4168 rows to /home/shogun/Documents/PathLens/data/optimization/runs/high_travel_time_nodes.csv
2026-01-03 12:46:15,327 - PathLensMaster - INFO - [optimization] 2026-01-03 12:46:15,327 - __main__ - INFO - Extract high travel time nodes completed successfully
