2026-01-04 19:26:25,209 - PathLensMaster - INFO - Logging initialized: /home/shogun/Documents/PathLens/data/logs/pathlens_master_20260104_192625.log
2026-01-04 19:26:25,209 - PathLensMaster - INFO - PathLens Master Orchestrator Starting
2026-01-04 19:26:25,209 - PathLensMaster - INFO - Project root: /home/shogun/Documents/PathLens
2026-01-04 19:26:25,209 - PathLensMaster - INFO - Config: /home/shogun/Documents/PathLens/config.yaml
2026-01-04 19:26:25,209 - PathLensMaster - INFO - Skipping data collection pipeline
2026-01-04 19:26:25,210 - PathLensMaster - INFO - ================================================================================
2026-01-04 19:26:25,210 - PathLensMaster - INFO - PIPELINE: OPTIMIZATION
2026-01-04 19:26:25,210 - PathLensMaster - INFO - ================================================================================
2026-01-04 19:26:25,210 - PathLensMaster - INFO - Command: /home/shogun/Documents/PathLens/venv/bin/python -u /home/shogun/Documents/PathLens/optimization-pipeline/run_optimization.py --ga-config /home/shogun/Documents/PathLens/config.yaml
2026-01-04 19:26:25,299 - PathLensMaster - INFO - [optimization] 2026-01-04 19:26:25,299 - __main__ - INFO - Logging initialized: /home/shogun/Documents/PathLens/data/optimization/runs/logs/optimization_run_20260104_192625.log
2026-01-04 19:26:25,300 - PathLensMaster - INFO - [optimization] 2026-01-04 19:26:25,299 - __main__ - INFO - PathLens Optimization Workflow
2026-01-04 19:26:25,300 - PathLensMaster - INFO - [optimization] 2026-01-04 19:26:25,299 - __main__ - INFO - Project root: /home/shogun/Documents/PathLens
2026-01-04 19:26:25,304 - PathLensMaster - INFO - [optimization] 2026-01-04 19:26:25,303 - __main__ - INFO - Hybrid GA-MILP enabled in config.yaml
2026-01-04 19:26:25,304 - PathLensMaster - INFO - [optimization] 2026-01-04 19:26:25,304 - __main__ - INFO - ================================================================================
2026-01-04 19:26:25,304 - PathLensMaster - INFO - [optimization] 2026-01-04 19:26:25,304 - __main__ - INFO - > Extract high travel time nodes
2026-01-04 19:26:25,304 - PathLensMaster - INFO - [optimization] 2026-01-04 19:26:25,304 - __main__ - INFO - ================================================================================
2026-01-04 19:26:25,304 - PathLensMaster - INFO - [optimization] 2026-01-04 19:26:25,304 - __main__ - INFO - Command: /home/shogun/Documents/PathLens/venv/bin/python /home/shogun/Documents/PathLens/optimization-pipeline/list_optimizable_nodes.py --input /home/shogun/Documents/PathLens/data/analysis/nodes_with_scores.parquet --output /home/shogun/Documents/PathLens/data/optimization/runs/high_travel_time_nodes.csv
2026-01-04 19:26:26,190 - PathLensMaster - INFO - [optimization] Filtered 4168 nodes above 15.00 minutes; wrote 4168 rows to /home/shogun/Documents/PathLens/data/optimization/runs/high_travel_time_nodes.csv
2026-01-04 19:26:26,444 - PathLensMaster - INFO - [optimization] 2026-01-04 19:26:26,443 - __main__ - INFO - Extract high travel time nodes completed successfully
2026-01-04 19:26:26,444 - PathLensMaster - INFO - [optimization] 2026-01-04 19:26:26,444 - __main__ - INFO - Auto-detected 12 worker threads (75% of 16 cores)
2026-01-04 19:26:26,444 - PathLensMaster - INFO - [optimization] 2026-01-04 19:26:26,444 - __main__ - INFO - ================================================================================
2026-01-04 19:26:26,444 - PathLensMaster - INFO - [optimization] 2026-01-04 19:26:26,444 - __main__ - INFO - > Run hybrid genetic algorithm with MILP refinement
2026-01-04 19:26:26,444 - PathLensMaster - INFO - [optimization] 2026-01-04 19:26:26,444 - __main__ - INFO - ================================================================================
2026-01-04 19:26:26,444 - PathLensMaster - INFO - [optimization] 2026-01-04 19:26:26,444 - __main__ - INFO - Command: /home/shogun/Documents/PathLens/venv/bin/python /home/shogun/Documents/PathLens/optimization-pipeline/hybrid_ga.py --nodes-scores /home/shogun/Documents/PathLens/data/analysis/nodes_with_scores.parquet --high-travel /home/shogun/Documents/PathLens/data/optimization/runs/high_travel_time_nodes.csv --analysis-dir /home/shogun/Documents/PathLens/data/optimization/runs --config /home/shogun/Documents/PathLens/config.yaml --workers 12
2026-01-04 19:26:27,139 - PathLensMaster - INFO - [optimization] 2026-01-04 19:26:27,138 [INFO] Loaded configuration from /home/shogun/Documents/PathLens/config.yaml
